Date,MaxTemp,MinTemp,MeanTemp
01-07-42,25.55555556,22.22222222,23.88888889
02-07-42,28.88888889,21.66666667,25.55555556
03-07-42,26.11111111,22.22222222,24.44444444
04-07-42,26.66666667,22.22222222,24.44444444
05-07-42,26.66666667,21.66666667,24.44444444
06-07-42,26.66666667,21.66666667,24.44444444
07-07-42,28.33333333,22.77777778,25.55555556
08-07-42,26.66666667,22.22222222,24.44444444
09-07-42,27.22222222,22.77777778,25
10-07-42,25.55555556,21.66666667,23.33333333
11-07-42,25.55555556,21.66666667,23.33333333
12-07-42,24.44444444,22.22222222,23.33333333
13-07-42,26.11111111,21.66666667,23.88888889
14-07-42,26.11111111,22.22222222,24.44444444
15-07-42,25.55555556,22.77777778,24.44444444
16-07-42,26.11111111,21.11111111,23.33333333
17-07-42,28.33333333,22.22222222,25.55555556
18-07-42,26.66666667,21.11111111,23.88888889
19-07-42,27.77777778,21.66666667,24.44444444
20-07-42,26.11111111,20,23.33333333
21-07-42,24.44444444,21.66666667,23.33333333
22-07-42,24.44444444,21.11111111,22.77777778
23-07-42,26.66666667,20.55555556,23.33333333
24-07-42,27.22222222,18.88888889,23.33333333
25-07-42,27.22222222,19.44444444,23.33333333
26-07-42,25.55555556,19.44444444,22.22222222
27-07-42,25.55555556,19.44444444,22.77777778
28-07-42,26.66666667,19.44444444,23.33333333
29-07-42,26.66666667,19.44444444,23.33333333
30-07-42,27.22222222,19.44444444,23.33333333
31-07-42,27.22222222,19.44444444,23.33333333
01-08-42,26.11111111,20,23.33333333
02-08-42,24.44444444,20.55555556,22.22222222
03-08-42,24.44444444,20.55555556,22.22222222
04-08-42,26.66666667,21.11111111,23.88888889
05-08-42,26.66666667,21.11111111,23.88888889
06-08-42,24.44444444,21.66666667,23.33333333
07-08-42,24.44444444,21.11111111,22.77777778
08-08-42,26.11111111,20.55555556,23.33333333
09-08-42,26.11111111,20.55555556,23.33333333
10-08-42,27.22222222,21.66666667,24.44444444
11-08-42,25,21.66666667,23.33333333
12-08-42,25.55555556,20.55555556,23.33333333
13-08-42,25.55555556,20.55555556,23.33333333
14-08-42,25.55555556,20,22.77777778
15-08-42,25.55555556,17.77777778,21.66666667
16-08-42,25.55555556,19.44444444,22.22222222
17-08-42,25.55555556,20,22.77777778
18-08-42,26.11111111,20.55555556,23.33333333
19-08-42,27.77777778,20.55555556,24.44444444
20-08-42,23.88888889,20.55555556,22.22222222
21-08-42,32.77777778,20,23.33333333
22-08-42,27.22222222,20.55555556,23.33333333
23-08-42,25,20.55555556,22.77777778
24-08-42,27.77777778,20.55555556,24.44444444
25-08-42,26.66666667,20,23.33333333
26-08-42,27.22222222,20.55555556,23.88888889
27-08-42,27.22222222,20.55555556,23.88888889
28-08-42,27.22222222,20.55555556,23.88888889
29-08-42,25,21.11111111,23.33333333
30-08-42,27.22222222,20.55555556,23.88888889
31-08-42,27.22222222,21.11111111,23.88888889
01-09-42,27.22222222,21.11111111,24.44444444
02-09-42,27.22222222,22.22222222,25
03-09-42,27.22222222,21.11111111,24.44444444
04-09-42,27.22222222,21.11111111,24.44444444
05-09-42,27.22222222,22.22222222,24.44444444
06-09-42,26.66666667,22.22222222,24.44444444
07-09-42,26.66666667,21.66666667,24.44444444
08-09-42,27.22222222,21.11111111,24.44444444
09-09-42,26.66666667,21.66666667,24.44444444
10-09-42,28.33333333,21.11111111,24.44444444
11-09-42,26.11111111,21.11111111,23.33333333
12-09-42,27.22222222,21.66666667,24.44444444
13-09-42,27.22222222,21.66666667,24.44444444
14-09-42,27.77777778,22.77777778,25.55555556
15-09-42,27.77777778,22.77777778,25.55555556
16-09-42,30,21.66666667,25.55555556
17-09-42,27.77777778,22.22222222,25
18-09-42,31.11111111,21.11111111,26.11111111
19-09-42,34.44444444,22.22222222,28.33333333
20-09-42,30.55555556,21.66666667,26.11111111
21-09-42,29.44444444,22.22222222,26.11111111
22-09-42,30.55555556,22.22222222,26.66666667
23-09-42,26.11111111,23.33333333,25
24-09-42,25.55555556,22.22222222,23.88888889
25-09-42,30.55555556,21.66666667,26.11111111
26-09-42,31.66666667,22.22222222,27.22222222
27-09-42,31.66666667,21.11111111,26.66666667
28-09-42,32.22222222,20.55555556,26.11111111
29-09-42,27.77777778,22.22222222,25
30-09-42,29.44444444,22.22222222,26.11111111
01-10-42,31.11111111,23.33333333,27.22222222
02-10-42,31.11111111,22.77777778,27.22222222
03-10-42,31.11111111,22.22222222,26.66666667
04-10-42,27.22222222,21.11111111,23.88888889
05-10-42,31.11111111,22.22222222,26.66666667
06-10-42,29.44444444,22.22222222,25.55555556
07-10-42,29.44444444,22.77777778,26.11111111
